Fecha,Cantidad
2019-12-21,76
2019-12-22,41
2019-12-23,57
2019-12-24,41
2019-12-25,35
2019-12-26,59
2019-12-27,51
2019-12-28,38
2019-12-29,31
2019-12-30,46
2019-12-31,60
2020-01-01,41
2020-01-02,50
2020-01-03,40
2020-01-04,42
2020-01-05,47
2020-01-06,41
2020-01-07,58
2020-01-08,63
2020-01-09,66
2020-01-10,59
2020-01-11,53
2020-01-12,48
2020-01-13,61
2020-01-14,58
2020-01-15,48
2020-01-16,51
2020-01-17,75
2020-01-18,75
2020-01-19,53
2020-01-20,46
2020-01-21,58
2020-01-22,80
2020-01-23,58
2020-01-24,67
2020-01-25,63
2020-01-26,50
2020-01-27,52
2020-01-28,52
2020-01-29,41
2020-01-30,50
2020-01-31,71
2020-02-01,56
2020-02-02,39
2020-02-03,60
2020-02-04,50
2020-02-05,68
2020-02-06,69
2020-02-07,67
2020-02-08,46
2020-02-09,48
2020-02-10,51
2020-02-11,59
2020-02-12,50
2020-02-13,60
2020-02-14,82
2020-02-15,50
2020-02-16,45
2020-02-17,52
2020-02-18,66
2020-02-19,78
2020-02-20,75
2020-02-21,68
2020-02-22,50
2020-02-23,58
2020-02-24,41
2020-02-25,62
2020-02-26,59
2020-02-27,69
2020-02-28,63
2020-02-29,55
2020-03-01,49
2020-03-02,64
2020-03-03,51
2020-03-04,61
2020-03-05,60
2020-03-06,67
2020-03-07,55
2020-03-08,33
2020-03-09,38
2020-03-10,46
2020-03-11,46
2020-03-12,32
2020-03-13,39
2020-03-14,17
2020-03-15,7
2020-03-16,17
2020-03-17,6
2020-03-18,6
2020-03-19,8
2020-03-20,9
2020-03-21,3
2020-03-22,5
2020-03-23,13
2020-03-24,8
2020-03-25,9
2020-03-26,7
2020-03-27,7
2020-03-28,8
2020-03-29,4
2020-03-30,12
2020-03-31,15
2020-04-01,8
2020-04-02,6
2020-04-03,6
2020-04-04,4
2020-04-05,5
2020-04-06,3
2020-04-07,8
2020-04-08,5
2020-04-09,5
2020-04-10,9
2020-04-11,8
2020-04-12,4
2020-04-13,9
2020-04-14,8
2020-04-15,13
2020-04-16,13
2020-04-17,10
2020-04-18,8
2020-04-19,7
2020-04-20,11
2020-04-21,8
2020-04-22,16
2020-04-23,8
2020-04-24,11
2020-04-25,11
2020-04-26,7
2020-04-27,8
2020-04-28,10
2020-04-29,13
2020-04-30,16
2020-05-01,8
2020-05-02,12
2020-05-03,10
2020-05-04,15
2020-05-05,15
2020-05-06,10
2020-05-07,21
2020-05-08,23
2020-05-09,17
2020-05-10,9
2020-05-11,21
2020-05-12,19
2020-05-13,25
2020-05-14,14
2020-05-15,14
2020-05-16,14
2020-05-17,13
2020-05-18,22
2020-05-19,23
2020-05-20,25
2020-05-21,24
2020-05-22,37
2020-05-23,23
2020-05-24,16
2020-05-25,43
2020-05-26,37
2020-05-27,40
2020-05-28,32
2020-05-29,39
2020-05-30,45
2020-05-31,30
2020-06-01,29
2020-06-02,35
2020-06-03,43
2020-06-04,33
2020-06-05,35
2020-06-06,41
2020-06-07,33
2020-06-08,32
2020-06-09,31
2020-06-10,47
2020-06-11,29
2020-06-12,38
2020-06-13,41
2020-06-14,25
2020-06-15,42
2020-06-16,26
2020-06-17,32
2020-06-18,35
2020-06-19,48
2020-06-20,46
2020-06-21,35
2020-06-22,53
2020-06-23,40
2020-06-24,44
2020-06-25,49
2020-06-26,52
2020-06-27,39
2020-06-28,32
2020-06-29,60
2020-06-30,47
2020-07-01,51
2020-07-02,36
2020-07-03,42
2020-07-04,39
2020-07-05,41
2020-07-06,41
2020-07-07,54
2020-07-08,41
2020-07-09,42
2020-07-10,42
2020-07-11,23
2020-07-12,21
2020-07-13,38
2020-07-14,50
2020-07-15,50
2020-07-16,58
2020-07-17,39
2020-07-18,35
2020-07-19,29
2020-07-20,49
2020-07-21,45
2020-07-22,42
2020-07-23,44
2020-07-24,49
2020-07-25,28
2020-07-26,24
2020-07-27,42
2020-07-28,48
2020-07-29,38
2020-07-30,47
2020-07-31,43
2020-08-01,42
2020-08-02,25
2020-08-03,35
2020-08-04,29
2020-08-05,33
2020-08-06,37
2020-08-07,43
2020-08-08,24
2020-08-09,22
2020-08-10,32
2020-08-11,36
2020-08-12,29
2020-08-13,22
2020-08-14,34
2020-08-15,10
2020-08-16,13
2020-08-17,25
2020-08-18,27
2020-08-19,27
2020-08-20,20
2020-08-21,25
2020-08-22,18
2020-08-23,14
2020-08-24,31
2020-08-25,31
2020-08-26,28
2020-08-27,34
2020-08-28,34
2020-08-29,28
2020-08-30,27
2020-08-31,43
2020-09-01,27
2020-09-02,45
2020-09-03,43
2020-09-04,43
2020-09-05,33
2020-09-06,28
2020-09-07,45
2020-09-08,48
2020-09-09,44
2020-09-10,53
2020-09-11,57
2020-09-12,52
2020-09-13,32
2020-09-14,35
2020-09-15,53
2020-09-16,51
2020-09-17,52
2020-09-18,38
2020-09-19,43
2020-09-20,27
2020-09-21,34
2020-09-22,44
2020-09-23,42
2020-09-24,40
2020-09-25,49
2020-09-26,35
2020-09-27,31
2020-09-28,53
2020-09-29,37
2020-09-30,41
2020-10-01,43
2020-10-02,72
2020-10-03,36
2020-10-04,30
2020-10-05,47
2020-10-06,37
2020-10-07,49
2020-10-08,37
2020-10-09,43
2020-10-10,36
2020-10-11,29
2020-10-12,27
2020-10-13,36
2020-10-14,44
2020-10-15,45
2020-10-16,53
2020-10-17,45
2020-10-18,39
2020-10-19,46
2020-10-20,62
2020-10-21,30
2020-10-22,57
2020-10-23,88
2020-10-24,34
2020-10-25,49
2020-10-26,39
2020-10-27,41
2020-10-28,42
2020-10-29,63
2020-10-30,61
2020-10-31,39
2020-11-01,33
2020-11-02,27
2020-11-03,54
2020-11-04,42
2020-11-05,54
2020-11-06,57
2020-11-07,45
2020-11-08,32
2020-11-09,23
2020-11-10,56
2020-11-11,42
2020-11-12,47
2020-11-13,57
2020-11-14,47
2020-11-15,30
2020-11-16,46
2020-11-17,42
2020-11-18,60
2020-11-19,57
2020-11-20,83
2020-11-21,41
2020-11-22,39
2020-11-23,48
2020-11-24,51
2020-11-25,48
2020-11-26,86
2020-11-27,95
2020-11-28,42
2020-11-29,44
2020-11-30,56
2020-12-01,57
2020-12-02,54
2020-12-03,60
2020-12-04,70
2020-12-05,41
2020-12-06,49
2020-12-07,46
2020-12-08,33
2020-12-09,57
2020-12-10,41
2020-12-11,73
2020-12-12,47
2020-12-13,38
2020-12-14,46
2020-12-15,74
2020-12-16,56
2020-12-17,54
2020-12-18,58
2020-12-19,77
2020-12-20,44
2020-12-21,70
2020-12-22,51
2020-12-23,46
2020-12-24,48
2020-12-25,13
2020-12-26,31
2020-12-27,37
2020-12-28,35
2020-12-29,39
2020-12-30,46
2020-12-31,53
2021-01-01,26
2021-01-02,30
2021-01-03,33
2021-01-04,40
2021-01-05,39
2021-01-06,25
2021-01-07,55
2021-01-08,69
2021-01-09,4
2021-01-10,1
2021-01-11,5
2021-01-12,8
2021-01-13,16
2021-01-14,19
2021-01-15,19
2021-01-16,27
2021-01-17,24
2021-01-18,33
2021-01-19,34
2021-01-20,31
2021-01-21,36
2021-01-22,29
2021-01-23,33
2021-01-24,28
2021-01-25,47
2021-01-26,59
2021-01-27,37
2021-01-28,33
2021-01-29,53
2021-01-30,30
2021-01-31,23
2021-02-01,36
2021-02-02,36
2021-02-03,47
2021-02-04,43
2021-02-05,56
2021-02-06,45
2021-02-07,31
2021-02-08,43
2021-02-09,38
2021-02-10,49
2021-02-11,34
2021-02-12,48
2021-02-13,34
2021-02-14,33
2021-02-15,42
2021-02-16,37
2021-02-17,41
2021-02-18,48
2021-02-19,56
2021-02-20,46
2021-02-21,33
2021-02-22,39
2021-02-23,34
2021-02-24,31
2021-02-25,26
2021-02-26,38
2021-02-27,58
2021-02-28,42
2021-03-01,31
2021-03-02,42
2021-03-03,47
2021-03-04,47
2021-03-05,53
2021-03-06,45
2021-03-07,33
2021-03-08,44
2021-03-09,40
2021-03-10,52
2021-03-11,44
2021-03-12,63
2021-03-13,43
2021-03-14,37
2021-03-15,47
2021-03-16,45
2021-03-17,56
2021-03-18,69
2021-03-19,34
2021-03-20,55
2021-03-21,30
2021-03-22,46
2021-03-23,49
2021-03-24,53
2021-03-25,59
2021-03-26,65
2021-03-27,63
2021-03-28,44
2021-03-29,29
2021-03-30,45
2021-03-31,51
2021-04-01,38
2021-04-02,41
2021-04-03,39
2021-04-04,29
2021-04-05,34
2021-04-06,67
2021-04-07,48
2021-04-08,55
2021-04-09,59
2021-04-10,47
2021-04-11,41
2021-04-12,56
2021-04-13,44
2021-04-14,38
2021-04-15,42
2021-04-16,47
2021-04-17,46
2021-04-18,40
2021-04-19,39
2021-04-20,37
2021-04-21,32
2021-04-22,53
2021-04-23,43
2021-04-24,60
2021-04-25,62
2021-04-26,46
2021-04-27,48
2021-04-28,42
2021-04-29,50
2021-04-30,69
2021-05-01,45
2021-05-02,35
2021-05-03,29
2021-05-04,55
2021-05-05,53
2021-05-06,51
2021-05-07,66
2021-05-08,49
2021-05-09,50
2021-05-10,42
2021-05-11,51
2021-05-12,65
2021-05-13,60
2021-05-14,60
2021-05-15,48
2021-05-16,34
2021-05-17,35
2021-05-18,51
2021-05-19,58
2021-05-20,63
2021-05-21,68
2021-05-22,50
2021-05-23,40
2021-05-24,49
2021-05-25,59
2021-05-26,44
2021-05-27,55
2021-05-28,51
2021-05-29,41
2021-05-30,53
2021-05-31,61
2021-06-01,59
2021-06-02,68
2021-06-03,64
2021-06-04,54
2021-06-05,35
2021-06-06,53
2021-06-07,66
2021-06-08,62
2021-06-09,55
2021-06-10,82
2021-06-11,64
2021-06-12,36
2021-06-13,33
2021-06-14,57
2021-06-15,62
2021-06-16,64
2021-06-17,64
2021-06-18,57
2021-06-19,43
2021-06-20,46
2021-06-21,53
2021-06-22,46
2021-06-23,55
2021-06-24,57
2021-06-25,72
2021-06-26,52
2021-06-27,53
2021-06-28,55
2021-06-29,64
2021-06-30,55
2021-07-01,60
2021-07-02,57
2021-07-03,41
2021-07-04,31
2021-07-05,50
2021-07-06,58
2021-07-07,45
2021-07-08,52
2021-07-09,57
2021-07-10,50
2021-07-11,30
2021-07-12,49
2021-07-13,44
2021-07-14,44
2021-07-15,61
2021-07-16,51
2021-07-17,29
2021-07-18,34
2021-07-19,38
2021-07-20,45
2021-07-21,53
2021-07-22,46
2021-07-23,46
2021-07-24,35
2021-07-25,38
2021-07-26,49
2021-07-27,57
2021-07-28,50
2021-07-29,39
2021-07-30,44
2021-07-31,26
2021-08-01,24
2021-08-02,41
2021-08-03,28
2021-08-04,34
2021-08-05,38
2021-08-06,42
2021-08-07,33
2021-08-08,21
2021-08-09,34
2021-08-10,29
2021-08-11,37
2021-08-12,29
2021-08-13,37
2021-08-14,28
2021-08-15,27
2021-08-16,34
2021-08-17,29
2021-08-18,28
2021-08-19,27
2021-08-20,23
2021-08-21,27
2021-08-22,25
2021-08-23,33
2021-08-24,36
2021-08-25,26
2021-08-26,40
2021-08-27,38
2021-08-28,36
2021-08-29,30
2021-08-30,44
2021-08-31,51
2021-09-01,50
2021-09-02,53
2021-09-03,66
2021-09-04,43
2021-09-05,53
2021-09-06,51
2021-09-07,60
2021-09-08,52
2021-09-09,50
2021-09-10,59
2021-09-11,50
2021-09-12,35
2021-09-13,55
2021-09-14,69
2021-09-15,43
2021-09-16,58
2021-09-17,64
2021-09-18,44
2021-09-19,50
2021-09-20,53
2021-09-21,56
2021-09-22,63
2021-09-23,69
2021-09-24,63
2021-09-25,56
2021-09-26,62
2021-09-27,59
2021-09-28,54
2021-09-29,52
2021-09-30,64
2021-10-01,83
2021-10-02,61
2021-10-03,55
2021-10-04,61
2021-10-05,61
2021-10-06,70
2021-10-07,84
2021-10-08,70
2021-10-09,56
2021-10-10,48
2021-10-11,46
2021-10-12,54
2021-10-13,66
2021-10-14,53
2021-10-15,74
2021-10-16,58
2021-10-17,52
2021-10-18,64
2021-10-19,71
2021-10-20,67
2021-10-21,56
2021-10-22,96
2021-10-23,66
2021-10-24,66
2021-10-25,80
2021-10-26,62
2021-10-27,62
2021-10-28,67
2021-10-29,84
2021-10-30,76
2021-10-31,73
2021-11-01,50
2021-11-02,55
2021-11-03,60
2021-11-04,57
2021-11-05,95
2021-11-06,53
2021-11-07,45
2021-11-08,55
2021-11-09,60
2021-11-10,64
2021-11-11,54
2021-11-12,84
2021-11-13,72
2021-11-14,46
2021-11-15,69
2021-11-16,50
2021-11-17,54
2021-11-18,70
2021-11-19,69
2021-11-20,56
2021-11-21,51
2021-11-22,71
2021-11-23,60
2021-11-24,64
2021-11-25,66
2021-11-26,70
2021-11-27,76
2021-11-28,51
2021-11-29,62
2021-11-30,62
2021-12-01,83
2021-12-02,76
2021-12-03,106
2021-12-04,49
2021-12-05,34
2021-12-06,45
2021-12-07,52
2021-12-08,49
2021-12-09,49
2021-12-10,71
2021-12-11,58
2021-12-12,58
2021-12-13,61
2021-12-14,72
2021-12-15,69
2021-12-16,55
2021-12-17,70
2021-12-18,49
2021-12-19,50
2021-12-20,54
2021-12-21,61
2021-12-22,72
2021-12-23,64
2021-12-24,76
2021-12-25,36
2021-12-26,49
2021-12-27,57
2021-12-28,34
2021-12-29,39
2021-12-30,43
2021-12-31,44
2022-01-01,32
2022-01-02,37
2022-01-03,40
2022-01-04,35
2022-01-05,59
2022-01-06,42
2022-01-07,47
2022-01-08,48
2022-01-09,27
2022-01-10,51
2022-01-11,46
2022-01-12,55
2022-01-13,45
2022-01-14,58
2022-01-15,47
2022-01-16,37
2022-01-17,59
2022-01-18,45
2022-01-19,50
2022-01-20,49
2022-01-21,84
2022-01-22,53
2022-01-23,38
2022-01-24,51
2022-01-25,38
2022-01-26,62
2022-01-27,75
2022-01-28,86
2022-01-29,58
2022-01-30,48
2022-01-31,56
2022-02-01,63
2022-02-02,68
2022-02-03,69
2022-02-04,62
2022-02-05,61
2022-02-06,34
2022-02-07,49
2022-02-08,83
2022-02-09,53
2022-02-10,71
2022-02-11,70
2022-02-12,51
2022-02-13,44
2022-02-14,64
2022-02-15,46
2022-02-16,57
2022-02-17,83
2022-02-18,69
2022-02-19,48
2022-02-20,49
2022-02-21,60
2022-02-22,73
2022-02-23,60
2022-02-24,41
2022-02-25,59
2022-02-26,48
2022-02-27,48
2022-02-28,50
2022-03-01,64
2022-03-02,70
2022-03-03,75
2022-03-04,66
2022-03-05,57
2022-03-06,45
2022-03-07,57
2022-03-08,55
2022-03-09,52
2022-03-10,43
2022-03-11,63
2022-03-12,45
2022-03-13,59
2022-03-14,52
2022-03-15,48
2022-03-16,56
2022-03-17,50
2022-03-18,54
2022-03-19,54
2022-03-20,47
2022-03-21,57
2022-03-22,55
2022-03-23,64
2022-03-24,70
2022-03-25,81
2022-03-26,55
2022-03-27,46
2022-03-28,44
2022-03-29,54
2022-03-30,52
2022-03-31,54
2022-04-01,79
2022-04-02,66
2022-04-03,43
2022-04-04,58
2022-04-05,57
2022-04-06,62
2022-04-07,67
2022-04-08,68
2022-04-09,46
2022-04-10,57
2022-04-11,41
2022-04-12,46
2022-04-13,41
2022-04-14,34
2022-04-15,25
2022-04-16,27
2022-04-17,31
2022-04-18,50
2022-04-19,66
2022-04-20,65
2022-04-21,60
2022-04-22,88
2022-04-23,58
2022-04-24,55
2022-04-25,51
2022-04-26,65
2022-04-27,50
2022-04-28,63
2022-04-29,80
2022-04-30,44
2022-05-01,60
2022-05-02,32
2022-05-03,59
2022-05-04,55
2022-05-05,63
2022-05-06,62
2022-05-07,57
2022-05-08,53
2022-05-09,63
2022-05-10,62
2022-05-11,59
2022-05-12,69
2022-05-13,75
2022-05-14,67
2022-05-15,49
2022-05-16,48
2022-05-17,77
2022-05-18,83
2022-05-19,83
2022-05-20,56
2022-05-21,52
2022-05-22,41
2022-05-23,63
2022-05-24,71
2022-05-25,67
2022-05-26,81
2022-05-27,73
2022-05-28,50
2022-05-29,57
2022-05-30,49
2022-05-31,75
2022-06-01,61
2022-06-02,67
2022-06-03,73
2022-06-04,53
2022-06-05,50
2022-06-06,58
2022-06-07,51
2022-06-08,60
2022-06-09,69
2022-06-10,75
2022-06-11,45
2022-06-12,44
2022-06-13,61
2022-06-14,78
2022-06-15,88
2022-06-16,76
2022-06-17,66
2022-06-18,56
2022-06-19,44
2022-06-20,63
2022-06-21,70
2022-06-22,63
2022-06-23,50
2022-06-24,75
2022-06-25,61
2022-06-26,42
2022-06-27,50
2022-06-28,52
2022-06-29,47
2022-06-30,63
2022-07-01,58
2022-07-02,48
2022-07-03,30
2022-07-04,63
2022-07-05,78
2022-07-06,65
2022-07-07,70
2022-07-08,48
2022-07-09,40
2022-07-10,39
2022-07-11,59
2022-07-12,45
2022-07-13,63
2022-07-14,66
2022-07-15,67
2022-07-16,37
2022-07-17,49
2022-07-18,56
2022-07-19,51
2022-07-20,45
2022-07-21,44
2022-07-22,46
2022-07-23,32
2022-07-24,38
2022-07-25,27
2022-07-26,48
2022-07-27,54
2022-07-28,53
2022-07-29,58
2022-07-30,39
2022-07-31,38
2022-08-01,35
2022-08-02,40
2022-08-03,46
2022-08-04,43
2022-08-05,42
2022-08-06,34
2022-08-07,28
2022-08-08,45
2022-08-09,33
2022-08-10,34
2022-08-11,45
2022-08-12,33
2022-08-13,32
2022-08-14,30
2022-08-15,25
2022-08-16,30
2022-08-17,46
2022-08-18,26
2022-08-19,30
2022-08-20,20
2022-08-21,32
2022-08-22,34
2022-08-23,41
2022-08-24,35
2022-08-25,32
2022-08-26,41
2022-08-27,27
2022-08-28,30
2022-08-29,49
2022-08-30,44
2022-08-31,65
2022-09-01,43
2022-09-02,38
2022-09-03,43
2022-09-04,44
2022-09-05,46
2022-09-06,52
2022-09-07,72
2022-09-08,58
2022-09-09,64
2022-09-10,55
2022-09-11,40
2022-09-12,63
2022-09-13,63
2022-09-14,42
2022-09-15,52
2022-09-16,65
2022-09-17,37
2022-09-18,46
2022-09-19,48
2022-09-20,63
2022-09-21,59
2022-09-22,49
2022-09-23,49
2022-09-24,45
2022-09-25,45
2022-09-26,62
2022-09-27,71
2022-09-28,77
2022-09-29,65
2022-09-30,68
2022-10-01,49
2022-10-02,40
2022-10-03,56
2022-10-04,70
2022-10-05,82
2022-10-06,48
2022-10-07,64
2022-10-08,65
2022-10-09,60
2022-10-10,60
2022-10-11,59
2022-10-12,53
2022-10-13,55
2022-10-14,67
2022-10-15,43
2022-10-16,45
2022-10-17,45
2022-10-18,59
2022-10-19,62
2022-10-20,79
2022-10-21,54
2022-10-22,77
2022-10-23,56
2022-10-24,56
2022-10-25,71
2022-10-26,68
2022-10-27,54
2022-10-28,87
2022-10-29,60
2022-10-30,39
2022-10-31,44
2022-11-01,44
2022-11-02,42
2022-11-03,62
2022-11-04,73
2022-11-05,48
2022-11-06,48
2022-11-07,77
2022-11-08,69
2022-11-09,44
2022-11-10,69
2022-11-11,60
2022-11-12,61
2022-11-13,47
2022-11-14,77
2022-11-15,68
2022-11-16,93
2022-11-17,60
2022-11-18,89
2022-11-19,55
2022-11-20,51
2022-11-21,71
2022-11-22,54
2022-11-23,60
2022-11-24,71
2022-11-25,78
2022-11-26,60
2022-11-27,53
2022-11-28,66
2022-11-29,65
2022-11-30,71
2022-12-01,69
2022-12-02,67
2022-12-03,82
2022-12-04,53
2022-12-05,70
2022-12-06,43
2022-12-07,45
2022-12-08,48
2022-12-09,69
2022-12-10,57
2022-12-11,54
2022-12-12,91
2022-12-13,88
2022-12-14,82
2022-12-15,77
2022-12-16,88
2022-12-17,73
2022-12-18,51
2022-12-19,59
2022-12-20,70
2022-12-21,70
2022-12-22,72
2022-12-23,67
2022-12-24,58
2022-12-25,25
2022-12-26,30
2022-12-27,42
2022-12-28,47
2022-12-29,45
2022-12-30,56
2022-12-31,46
2023-01-01,40
2023-01-02,41
2023-01-03,60
2023-01-04,59
2023-01-05,49
2023-01-06,47
2023-01-07,41
2023-01-08,67
2023-01-09,55
2023-01-10,66
2023-01-11,36
2023-01-12,66
2023-01-13,54
2023-01-14,49
2023-01-15,43
2023-01-16,47
2023-01-17,63
2023-01-18,52
2023-01-19,83
2023-01-20,72
2023-01-21,61
2023-01-22,46
2023-01-23,38
2023-01-24,63
2023-01-25,56
2023-01-26,58
2023-01-27,60
2023-01-28,50
2023-01-29,49
2023-01-30,81
2023-01-31,57
2023-02-01,65
2023-02-02,50
2023-02-03,74
2023-02-04,61
2023-02-05,54
2023-02-06,53
2023-02-07,69
2023-02-08,43
2023-02-09,65
2023-02-10,64
2023-02-11,47
2023-02-12,42
2023-02-13,55
2023-02-14,61
2023-02-15,49
2023-02-16,64
2023-02-17,80
2023-02-18,38
2023-02-19,44
2023-02-20,60
2023-02-21,55
2023-02-22,63
2023-02-23,51
2023-02-24,67
2023-02-25,64
2023-02-26,41
2023-02-27,49
2023-02-28,49
2023-03-01,71
2023-03-02,81
2023-03-03,70
2023-03-04,66
2023-03-05,58
2023-03-06,68
2023-03-07,60
2023-03-08,55
2023-03-09,61
2023-03-10,70
2023-03-11,55
2023-03-12,40
2023-03-13,54
2023-03-14,65
2023-03-15,46
2023-03-16,71
2023-03-17,67
2023-03-18,34
2023-03-19,54
2023-03-20,37
2023-03-21,57
2023-03-22,52
2023-03-23,74
2023-03-24,84
2023-03-25,64
2023-03-26,54
2023-03-27,65
2023-03-28,69
2023-03-29,62
2023-03-30,56
2023-03-31,59
2023-04-01,58
2023-04-02,40
